task_id,submit_success,submit_http_status,submit_latency_ms,final_status,result_success,worker,queue_wait_ms,inference_ms,total_ms,num_detections,error,result_image_url
20260708_092228_376_13,True,202,46.00299999992785,done,True,obb_worker_1,418,2.621,437,0,,/api/v1/result/20260708_092228_376_13/image
20260708_092228_354_12,True,202,45.05169999993086,done,True,obb_worker_1,414,2.6848,434,0,,/api/v1/result/20260708_092228_354_12/image
20260708_092228_441_21,True,202,40.370700000039506,done,True,obb_worker_1,567,3.6339,588,0,,/api/v1/result/20260708_092228_441_21/image
20260708_092228_310_6,True,202,38.256900000305905,done,True,obb_worker_1,272,4.3081,293,0,,/api/v1/result/20260708_092228_310_6/image
20260708_092228_291_3,True,202,19.421100000272418,done,True,obb_worker_1,241,3.1997,259,0,,/api/v1/result/20260708_092228_291_3/image
20260708_092228_472_25,True,202,44.398500000170316,done,True,obb_worker_1,642,2.5312,659,0,,/api/v1/result/20260708_092228_472_25/image
20260708_092228_292_4,True,202,20.224899999902846,done,True,obb_worker_1,264,3.7292,284,0,,/api/v1/result/20260708_092228_292_4/image
20260708_092228_384_15,True,202,34.28669999993872,done,True,obb_worker_1,461,3.2142,481,0,,/api/v1/result/20260708_092228_384_15/image
20260708_092228_538_33,True,202,51.96590000014112,done,True,obb_worker_1,749,2.7317,766,0,,/api/v1/result/20260708_092228_538_33/image
20260708_092228_331_9,True,202,41.59140000001571,done,True,obb_worker_1,330,3.8997,351,0,,/api/v1/result/20260708_092228_331_9/image
20260708_092228_448_23,True,202,36.924200000157725,done,True,obb_worker_1,613,3.2712,633,0,,/api/v1/result/20260708_092228_448_23/image
20260708_092228_483_26,True,202,38.80700000036086,done,True,obb_worker_1,653,3.1898,671,0,,/api/v1/result/20260708_092228_483_26/image
20260708_092228_291_2,True,202,18.013000000337342,done,True,obb_worker_1,1,219.3375,236,0,,/api/v1/result/20260708_092228_291_2/image
20260708_092228_516_31,True,202,34.28649999978006,done,True,obb_worker_1,728,2.295,745,0,,/api/v1/result/20260708_092228_516_31/image
20260708_092228_401_17,True,202,46.3924999999108,done,True,obb_worker_1,497,2.9802,517,0,,/api/v1/result/20260708_092228_401_17/image
20260708_092228_352_10,True,202,43.40509999974529,done,True,obb_worker_1,363,3.8468,383,0,,/api/v1/result/20260708_092228_352_10/image
20260708_092228_310_5,True,202,38.841799999772775,done,True,obb_worker_1,299,3.9812,320,0,,/api/v1/result/20260708_092228_310_5/image
20260708_092228_485_27,True,202,45.11430000002292,done,True,obb_worker_1,673,2.5537,690,0,,/api/v1/result/20260708_092228_485_27/image
20260708_092228_425_20,True,202,40.32409999990705,done,True,obb_worker_1,553,3.1769,574,0,,/api/v1/result/20260708_092228_425_20/image
20260708_092228_539_34,True,202,32.98769999992146,done,True,obb_worker_1,770,3.2922,788,0,,/api/v1/result/20260708_092228_539_34/image
20260708_092228_627_44,True,202,43.307800000093266,done,True,obb_worker_1,928,3.368,948,0,,/api/v1/result/20260708_092228_627_44/image
20260708_092228_410_18,True,202,34.10900000017136,done,True,obb_worker_1,514,4.2316,536,0,,/api/v1/result/20260708_092228_410_18/image
20260708_092228_560_36,True,202,43.75530000015715,done,True,obb_worker_1,796,4.308,815,0,,/api/v1/result/20260708_092228_560_36/image
20260708_092228_376_14,True,202,46.247000000221306,done,True,obb_worker_1,443,3.8501,464,0,,/api/v1/result/20260708_092228_376_14/image
20260708_092228_461_24,True,202,37.74139999995896,done,True,obb_worker_1,625,4.2104,646,0,,/api/v1/result/20260708_092228_461_24/image
20260708_092228_422_19,True,202,44.890699999996286,done,True,obb_worker_1,528,3.3436,549,0,,/api/v1/result/20260708_092228_422_19/image
20260708_092228_527_32,True,202,34.26320000016858,done,True,obb_worker_1,739,2.4012,756,0,,/api/v1/result/20260708_092228_527_32/image
20260708_092228_493_28,True,202,44.638599999871076,done,True,obb_worker_1,686,3.1739,703,0,,/api/v1/result/20260708_092228_493_28/image
20260708_092228_632_45,True,202,39.64249999989988,done,True,obb_worker_1,949,2.6685,969,0,,/api/v1/result/20260708_092228_632_45/image
20260708_092228_703_53,True,202,40.3534000001855,done,True,obb_worker_1,1075,3.0901,1095,0,,/api/v1/result/20260708_092228_703_53/image
20260708_092228_592_40,True,202,34.23849999990125,done,True,obb_worker_1,859,2.497,877,0,,/api/v1/result/20260708_092228_592_40/image
20260708_092228_330_7,True,202,41.31280000001425,done,True,obb_worker_1,306,3.3038,326,0,,/api/v1/result/20260708_092228_330_7/image
20260708_092228_608_42,True,202,39.25959999969564,done,True,obb_worker_1,891,4.6235,912,0,,/api/v1/result/20260708_092228_608_42/image
20260708_092228_622_43,True,202,39.675500000157626,done,True,obb_worker_1,906,4.4297,927,0,,/api/v1/result/20260708_092228_622_43/image
20260708_092228_746_58,True,202,42.67610000033528,done,True,obb_worker_1,1158,2.994,1177,0,,/api/v1/result/20260708_092228_746_58/image
20260708_092228_717_54,True,202,71.8723000004502,done,True,obb_worker_1,1089,2.4717,1107,0,,/api/v1/result/20260708_092228_717_54/image
20260708_092228_353_11,True,202,24.166499999864754,done,True,obb_worker_1,388,3.5081,409,0,,/api/v1/result/20260708_092228_353_11/image
20260708_092228_330_8,True,202,41.67219999999361,done,True,obb_worker_1,358,3.3252,379,0,,/api/v1/result/20260708_092228_330_8/image
20260708_092228_400_16,True,202,46.47450000038589,done,True,obb_worker_1,472,2.8223,492,0,,/api/v1/result/20260708_092228_400_16/image
20260708_092228_507_29,True,202,45.09330000018963,done,True,obb_worker_1,695,2.9971,712,0,,/api/v1/result/20260708_092228_507_29/image
20260708_092228_751_59,True,202,34.065800000007584,done,True,obb_worker_1,1178,3.4808,1198,0,,/api/v1/result/20260708_092228_751_59/image
20260708_092228_605_41,True,202,44.71379999995406,done,True,obb_worker_1,870,3.0712,888,0,,/api/v1/result/20260708_092228_605_41/image
20260708_092228_444_22,True,202,42.79189999988375,done,True,obb_worker_1,590,3.5128,610,0,,/api/v1/result/20260708_092228_444_22/image
20260708_092228_774_61,True,202,31.902800000352727,done,True,obb_worker_1,1206,2.8491,1226,0,,/api/v1/result/20260708_092228_774_61/image
20260708_092228_582_38,True,202,45.360099999925296,done,True,obb_worker_1,820,4.1759,840,0,,/api/v1/result/20260708_092228_582_38/image
20260708_092228_853_71,True,202,37.80219999998735,done,True,obb_worker_1,1383,3.0563,1402,0,,/api/v1/result/20260708_092228_853_71/image
20260708_092228_584_39,True,202,45.337300000028335,done,True,obb_worker_1,844,2.9759,863,0,,/api/v1/result/20260708_092228_584_39/image
20260708_092228_651_47,True,202,42.76690000006056,done,True,obb_worker_1,979,2.5925,997,0,,/api/v1/result/20260708_092228_651_47/image
20260708_092228_678_50,True,202,47.263399999792455,done,True,obb_worker_1,1019,3.0701,1038,0,,/api/v1/result/20260708_092228_678_50/image
20260708_092228_515_30,True,202,44.20329999993555,done,True,obb_worker_1,707,2.9358,724,0,,/api/v1/result/20260708_092228_515_30/image
20260708_092228_645_46,True,202,39.81969999995272,done,True,obb_worker_1,962,2.656,981,0,,/api/v1/result/20260708_092228_645_46/image
20260708_092228_559_35,True,202,44.025799999872106,done,True,obb_worker_1,773,4.2909,792,0,,/api/v1/result/20260708_092228_559_35/image
